code,path,reason,decision,notes
01-01,dataset/raw/atencion/atencion_01293.jpg,similaridad perceptual con etiqueta conflictiva,,
01-02,dataset/raw/atencion/atencion_03640.jpg,duplicado exacto con etiqueta conflictiva,,
01-03,dataset/raw/atencion/atencion_01573.jpg,similaridad perceptual con etiqueta conflictiva,,
01-04,dataset/raw/atencion/atencion_01630.jpg,similaridad perceptual con etiqueta conflictiva,,
01-05,dataset/raw/atencion/atencion_03360.jpg,duplicado exacto con etiqueta conflictiva,,
01-06,dataset/raw/atencion/atencion_01816.jpg,duplicado exacto con etiqueta conflictiva,,
01-07,dataset/raw/atencion/atencion_05005.jpg,duplicado exacto con etiqueta conflictiva,,
01-08,dataset/raw/atencion/atencion_02462.jpg,similaridad perceptual con etiqueta conflictiva,,
01-09,dataset/raw/atencion/atencion_02640.jpg,duplicado exacto con etiqueta conflictiva,,
01-10,dataset/raw/atencion/atencion_02013.jpg,similaridad perceptual con etiqueta conflictiva,,
01-11,dataset/raw/atencion/atencion_02018.jpg,duplicado exacto con etiqueta conflictiva,,
01-12,dataset/raw/atencion/atencion_02086.jpg,duplicado exacto con etiqueta conflictiva,,
01-13,dataset/raw/atencion/atencion_03936.jpg,duplicado exacto con etiqueta conflictiva,,
01-14,dataset/raw/atencion/atencion_01519.jpg,similaridad perceptual con etiqueta conflictiva,,
01-15,dataset/raw/atencion/atencion_01613.jpg,similaridad perceptual con etiqueta conflictiva,,
01-16,dataset/raw/atencion/atencion_08131.jpg,similaridad perceptual con etiqueta conflictiva,,
01-17,dataset/raw/atencion/atencion_01765.jpg,similaridad perceptual con etiqueta conflictiva,,
01-18,dataset/raw/atencion/atencion_01695.jpg,similaridad perceptual con etiqueta conflictiva,,
01-19,dataset/raw/atencion/atencion_00782.jpg,similaridad perceptual con etiqueta conflictiva,,
01-20,dataset/raw/atencion/atencion_01753.jpg,duplicado exacto con etiqueta conflictiva,,
01-21,dataset/raw/atencion/atencion_03329.jpg,duplicado exacto con etiqueta conflictiva,,
01-22,dataset/raw/atencion/atencion_01747.jpg,similaridad perceptual con etiqueta conflictiva,,
01-23,dataset/raw/atencion/atencion_06284.jpg,similaridad perceptual con etiqueta conflictiva,,
01-24,dataset/raw/atencion/atencion_05171.jpg,duplicado exacto con etiqueta conflictiva,,
01-25,dataset/raw/atencion/atencion_00700.jpg,duplicado exacto con etiqueta conflictiva,,
