code,path,reason,decision,notes
05-01,dataset/raw/atencion/atencion_01842.jpg,similaridad perceptual con etiqueta conflictiva,,
05-02,dataset/raw/atencion/atencion_00349.jpg,duplicado exacto con etiqueta conflictiva,,
05-03,dataset/raw/atencion/atencion_01465.jpg,duplicado exacto con etiqueta conflictiva,,
05-04,dataset/raw/atencion/atencion_02388.jpg,duplicado exacto con etiqueta conflictiva,,
05-05,dataset/raw/atencion/atencion_01560.jpg,similaridad perceptual con etiqueta conflictiva,,
05-06,dataset/raw/atencion/atencion_01422.jpg,similaridad perceptual con etiqueta conflictiva,,
05-07,dataset/raw/atencion/atencion_01543.jpg,similaridad perceptual con etiqueta conflictiva,,
05-08,dataset/raw/atencion/atencion_01268.jpg,similaridad perceptual con etiqueta conflictiva,,
05-09,dataset/raw/atencion/atencion_02906.jpg,duplicado exacto con etiqueta conflictiva,,
05-10,dataset/raw/atencion/atencion_01535.jpg,similaridad perceptual con etiqueta conflictiva,,
05-11,dataset/raw/atencion/atencion_00732.jpg,similaridad perceptual con etiqueta conflictiva,,
05-12,dataset/raw/atencion/atencion_09857.jpg,duplicado exacto con etiqueta conflictiva,,
05-13,dataset/raw/atencion/atencion_03340.jpg,duplicado exacto con etiqueta conflictiva,,
05-14,dataset/raw/atencion/atencion_08223.jpg,duplicado exacto con etiqueta conflictiva,,
05-15,dataset/raw/atencion/atencion_00600.jpg,duplicado exacto con etiqueta conflictiva,,
05-16,dataset/raw/atencion/atencion_00658.jpg,duplicado exacto con etiqueta conflictiva,,
05-17,dataset/raw/atencion/atencion_02510.jpg,similaridad perceptual con etiqueta conflictiva,,
05-18,dataset/raw/atencion/atencion_01214.jpg,similaridad perceptual con etiqueta conflictiva,,
05-19,dataset/raw/atencion/atencion_00034.jpg,duplicado exacto con etiqueta conflictiva,,
05-20,dataset/raw/atencion/atencion_01585.jpg,similaridad perceptual con etiqueta conflictiva,,
05-21,dataset/raw/atencion/atencion_04792.jpg,duplicado exacto con etiqueta conflictiva,,
05-22,dataset/raw/atencion/atencion_07034.jpg,similaridad perceptual con etiqueta conflictiva,,
05-23,dataset/raw/atencion/atencion_01159.jpg,similaridad perceptual con etiqueta conflictiva,,
05-24,dataset/raw/atencion/atencion_05788.jpg,similaridad perceptual con etiqueta conflictiva,,
05-25,dataset/raw/atencion/atencion_05764.jpg,similaridad perceptual con etiqueta conflictiva,,
