code,path,reason,decision,notes
04-01,dataset/raw/atencion/atencion_00636.jpg,duplicado exacto con etiqueta conflictiva,,
04-02,dataset/raw/atencion/atencion_01643.jpg,similaridad perceptual con etiqueta conflictiva,,
04-03,dataset/raw/atencion/atencion_00665.jpg,similaridad perceptual con etiqueta conflictiva,,
04-04,dataset/raw/atencion/atencion_01180.jpg,similaridad perceptual con etiqueta conflictiva,,
04-05,dataset/raw/atencion/atencion_01337.jpg,duplicado exacto con etiqueta conflictiva,,
04-06,dataset/raw/atencion/atencion_02316.jpg,similaridad perceptual con etiqueta conflictiva,,
04-07,dataset/raw/atencion/atencion_00693.jpg,duplicado exacto con etiqueta conflictiva,,
04-08,dataset/raw/atencion/atencion_00763.jpg,duplicado exacto con etiqueta conflictiva,,
04-09,dataset/raw/atencion/atencion_01586.jpg,similaridad perceptual con etiqueta conflictiva,,
04-10,dataset/raw/atencion/atencion_10354.jpg,similaridad perceptual con etiqueta conflictiva,,
04-11,dataset/raw/atencion/atencion_00233.jpg,duplicado exacto con etiqueta conflictiva,,
04-12,dataset/raw/atencion/atencion_01399.jpg,similaridad perceptual con etiqueta conflictiva,,
04-13,dataset/raw/atencion/atencion_02094.jpg,duplicado exacto con etiqueta conflictiva,,
04-14,dataset/raw/atencion/atencion_01427.jpg,similaridad perceptual con etiqueta conflictiva,,
04-15,dataset/raw/atencion/atencion_00606.jpg,similaridad perceptual con etiqueta conflictiva,,
04-16,dataset/raw/atencion/atencion_01587.jpg,similaridad perceptual con etiqueta conflictiva,,
04-17,dataset/raw/atencion/atencion_01260.jpg,similaridad perceptual con etiqueta conflictiva,,
04-18,dataset/raw/atencion/atencion_00860.jpg,duplicado exacto con etiqueta conflictiva,,
04-19,dataset/raw/atencion/atencion_00177.jpg,duplicado exacto con etiqueta conflictiva,,
04-20,dataset/raw/atencion/atencion_07452.jpg,similaridad perceptual con etiqueta conflictiva,,
04-21,dataset/raw/atencion/atencion_02626.jpg,similaridad perceptual con etiqueta conflictiva,,
04-22,dataset/raw/atencion/atencion_05755.jpg,duplicado exacto con etiqueta conflictiva,,
04-23,dataset/raw/atencion/atencion_05045.jpg,duplicado exacto con etiqueta conflictiva,,
04-24,dataset/raw/atencion/atencion_01594.jpg,similaridad perceptual con etiqueta conflictiva,,
04-25,dataset/raw/atencion/atencion_07781.jpg,duplicado exacto con etiqueta conflictiva,,
