code,path,reason,decision,notes
02-01,dataset/raw/atencion/atencion_05758.jpg,similaridad perceptual con etiqueta conflictiva,,
02-02,dataset/raw/atencion/atencion_09665.jpg,duplicado exacto con etiqueta conflictiva,,
02-03,dataset/raw/atencion/atencion_05400.jpg,duplicado exacto con etiqueta conflictiva,,
02-04,dataset/raw/atencion/atencion_01248.jpg,similaridad perceptual con etiqueta conflictiva,,
02-05,dataset/raw/atencion/atencion_01470.jpg,duplicado exacto con etiqueta conflictiva,,
02-06,dataset/raw/atencion/atencion_00004.jpg,duplicado exacto con etiqueta conflictiva,,
02-07,dataset/raw/atencion/atencion_00580.jpg,similaridad perceptual con etiqueta conflictiva,,
02-08,dataset/raw/atencion/atencion_01155.jpg,similaridad perceptual con etiqueta conflictiva,,
02-09,dataset/raw/atencion/atencion_01797.jpg,duplicado exacto con etiqueta conflictiva,,
02-10,dataset/raw/atencion/atencion_12528.jpg,duplicado exacto con etiqueta conflictiva,,
02-11,dataset/raw/atencion/atencion_01759.jpg,duplicado exacto con etiqueta conflictiva,,
02-12,dataset/raw/atencion/atencion_09628.jpg,similaridad perceptual con etiqueta conflictiva,,
02-13,dataset/raw/atencion/atencion_03882.jpg,similaridad perceptual con etiqueta conflictiva,,
02-14,dataset/raw/atencion/atencion_03300.jpg,similaridad perceptual con etiqueta conflictiva,,
02-15,dataset/raw/atencion/atencion_04737.jpg,similaridad perceptual con etiqueta conflictiva,,
02-16,dataset/raw/atencion/atencion_00574.jpg,similaridad perceptual con etiqueta conflictiva,,
02-17,dataset/raw/atencion/atencion_03031.jpg,similaridad perceptual con etiqueta conflictiva,,
02-18,dataset/raw/atencion/atencion_01529.jpg,duplicado exacto con etiqueta conflictiva,,
02-19,dataset/raw/atencion/atencion_02031.jpg,similaridad perceptual con etiqueta conflictiva,,
02-20,dataset/raw/atencion/atencion_01208.jpg,duplicado exacto con etiqueta conflictiva,,
02-21,dataset/raw/atencion/atencion_00666.jpg,duplicado exacto con etiqueta conflictiva,,
02-22,dataset/raw/atencion/atencion_01269.jpg,similaridad perceptual con etiqueta conflictiva,,
02-23,dataset/raw/atencion/atencion_01621.jpg,similaridad perceptual con etiqueta conflictiva,,
02-24,dataset/raw/atencion/atencion_00656.jpg,similaridad perceptual con etiqueta conflictiva,,
02-25,dataset/raw/atencion/atencion_01236.jpg,duplicado exacto con etiqueta conflictiva,,
