accuracy,epoch,learning_rate,loss,stage,val_accuracy,val_loss
0.4274509847164154,1,0.0010000000474974513,1.2559248208999634,head,0.5182648301124573,1.0190783739089966
0.5222222208976746,2,0.0010000000474974513,1.0464282035827637,head,0.5707762837409973,0.9698924422264099
0.5588235259056091,3,0.0010000000474974513,0.9758383631706238,head,0.5799086689949036,0.9817072153091431
0.5836601257324219,4,0.0010000000474974513,0.9264154434204102,head,0.6050228476524353,0.9242550730705261
0.5901960730552673,5,0.0010000000474974513,0.8877188563346863,head,0.6073059439659119,0.9377599358558655
0.5888888835906982,6,0.0010000000474974513,0.8701048493385315,head,0.6095890402793884,0.939467191696167
0.628104567527771,7,0.0002500000118743628,0.8060670495033264,head,0.6255707740783691,0.9136703610420227
0.628104567527771,8,0.0002500000118743628,0.8091086149215698,head,0.6301369667053223,0.9159334897994995
0.6287581920623779,9,0.0002500000118743628,0.8126399517059326,head,0.6301369667053223,0.9128771424293518
0.6294117569923401,10,0.0002500000118743628,0.8153200745582581,head,0.6232876777648926,0.9011592268943787
0.5248365998268127,11,9.999999747378752e-06,1.1155225038528442,finetune,0.6141552329063416,0.9100212454795837
0.5555555820465088,12,9.999999747378752e-06,0.9509068131446838,finetune,0.6141552329063416,0.9119078516960144
0.5830065608024597,13,2.499999936844688e-06,0.9204801321029663,finetune,0.621004581451416,0.9116109013557434
0.6019607782363892,14,2.499999936844688e-06,0.8882865309715271,finetune,0.6255707740783691,0.9108366966247559
