epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.46997690200805664,0.0010000000474974513,1.1657748222351074,0.5951417088508606,0.9057643413543701
1,0.5700538754463196,0.0010000000474974513,0.9700953960418701,0.6248313188552856,0.8929126262664795
2,0.5892994403839111,0.0010000000474974513,0.9090115427970886,0.5843454599380493,0.9931476712226868
3,0.6066204905509949,0.0010000000474974513,0.8737949728965759,0.6275303363800049,0.9081400036811829
4,0.6239414811134338,0.0010000000474974513,0.8403335213661194,0.6356275081634521,0.9006455540657043
5,0.6358737349510193,0.00020000000949949026,0.81004798412323,0.6383265852928162,0.8897281885147095
6,0.6462663412094116,0.00020000000949949026,0.8023761510848999,0.6383265852928162,0.8744914531707764
7,0.6489607095718384,0.00020000000949949026,0.8047766089439392,0.6342779994010925,0.8595609068870544
8,0.650885283946991,0.00020000000949949026,0.7938713431358337,0.6356275081634521,0.8926634788513184
9,0.6478059887886047,0.00020000000949949026,0.8072655200958252,0.6396760940551758,0.8698533773422241
10,0.6462663412094116,0.00020000000949949026,0.7939433455467224,0.6410256624221802,0.8660765886306763
11,0.6628175377845764,4.0000002627493814e-05,0.780955970287323,0.6383265852928162,0.8454562425613403
12,0.6547344326972961,4.0000002627493814e-05,0.7710920572280884,0.6383265852928162,0.8429127931594849
13,0.6570438742637634,4.0000002627493814e-05,0.7827502489089966,0.6410256624221802,0.8391544818878174
14,0.6501154899597168,4.0000002627493814e-05,0.7911797761917114,0.6383265852928162,0.8434851765632629
15,0.6431870460510254,4.0000002627493814e-05,0.794486403465271,0.6396760940551758,0.841265082359314
16,0.6666666865348816,4.0000002627493814e-05,0.7758206725120544,0.6410256624221802,0.8387049436569214
17,0.6628175377845764,4.0000002627493814e-05,0.7789170145988464,0.6410256624221802,0.8425290584564209
18,0.6608930230140686,4.0000002627493814e-05,0.7739208936691284,0.6423751711845398,0.8402852416038513
19,0.6620477437973022,4.0000002627493814e-05,0.7762297987937927,0.6423751711845398,0.8416340351104736
20,0.6632024645805359,8.000000889296643e-06,0.7640929222106934,0.6410256624221802,0.8384649753570557
21,0.6620477437973022,8.000000889296643e-06,0.7580893635749817,0.6423751711845398,0.8374047875404358
22,0.6743649244308472,8.000000889296643e-06,0.7548806071281433,0.6410256624221802,0.8385539650917053
23,0.6812933087348938,8.000000889296643e-06,0.7633348703384399,0.6410256624221802,0.8383925557136536
24,0.6651270389556885,8.000000889296643e-06,0.7737895846366882,0.6423751711845398,0.8376900553703308
