accuracy,epoch,learning_rate,loss,stage,val_accuracy,val_loss
0.3947712481021881,1,0.0010000000474974513,1.2596757411956787,head,0.47031962871551514,1.071456789970398
0.48954248428344727,2,0.0010000000474974513,1.0668126344680786,head,0.5205479264259338,0.9986025094985962
0.5137255191802979,3,0.0010000000474974513,1.001512050628662,head,0.543379008769989,0.9635186791419983
0.5522875785827637,4,0.0010000000474974513,0.9492688775062561,head,0.543379008769989,0.9669594168663025
0.5411764979362488,5,0.0010000000474974513,0.9683385491371155,head,0.5707762837409973,0.9580742120742798
0.5758169889450073,6,0.0010000000474974513,0.9167082905769348,head,0.5753424763679504,0.9431890249252319
0.572549045085907,7,0.0010000000474974513,0.9168685078620911,head,0.5890411138534546,0.94786137342453
0.5843137502670288,8,0.0010000000474974513,0.8775648474693298,head,0.586758017539978,0.9462978839874268
0.5738562345504761,9,0.0002500000118743628,0.8969851732254028,head,0.5936073064804077,0.9437420964241028
0.5888888835906982,10,0.0002500000118743628,0.8666439056396484,head,0.5890411138534546,0.9444077610969543
0.5006536245346069,11,9.999999747378752e-06,1.0920295715332031,finetune,0.5730593800544739,0.9383615255355835
0.4986928105354309,12,9.999999747378752e-06,1.0554742813110352,finetune,0.5730593800544739,0.9390395283699036
0.5241830348968506,13,9.999999747378752e-06,1.0141096115112305,finetune,0.568493127822876,0.9408790469169617
0.5254902243614197,14,2.499999936844688e-06,1.004040241241455,finetune,0.5662100315093994,0.9433883428573608
0.5320261716842651,15,2.499999936844688e-06,1.0003771781921387,finetune,0.568493127822876,0.9458571672439575
