epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.4733050763607025,0.0010000000474974513,1.1499347686767578,0.580980658531189,0.9706937074661255
1,0.571610152721405,0.0010000000474974513,0.9531220197677612,0.6077265739440918,0.9107756614685059
2,0.5860169529914856,0.0010000000474974513,0.9245404005050659,0.6002971529960632,0.8989024758338928
3,0.5855932235717773,0.0010000000474974513,0.8918396234512329,0.5928677320480347,0.9939305782318115
4,0.6241525411605835,0.0010000000474974513,0.8555108904838562,0.6166418790817261,0.9092485308647156
5,0.6254237294197083,0.00020000000949949026,0.8261105418205261,0.6166418790817261,0.8942692279815674
6,0.623305082321167,0.00020000000949949026,0.8236445784568787,0.6255571842193604,0.8954626321792603
7,0.6254237294197083,0.00020000000949949026,0.8126246929168701,0.6300148367881775,0.9000120759010315
8,0.6427966356277466,4.0000002627493814e-05,0.804276168346405,0.6210995316505432,0.8930365443229675
9,0.6224576234817505,4.0000002627493814e-05,0.8163533806800842,0.6225854158401489,0.8928542137145996
10,0.6377118825912476,4.0000002627493814e-05,0.809729278087616,0.6210995316505432,0.8921570181846619
11,0.6427966356277466,4.0000002627493814e-05,0.7939878106117249,0.6255571842193604,0.8919162750244141
12,0.6415254473686218,4.0000002627493814e-05,0.7999255061149597,0.6225854158401489,0.8921595811843872
13,0.6444915533065796,4.0000002627493814e-05,0.7985888123512268,0.6225854158401489,0.8916245102882385
14,0.6440678238868713,4.0000002627493814e-05,0.7994639873504639,0.6270430684089661,0.8917375802993774
15,0.6322034001350403,4.0000002627493814e-05,0.8000802993774414,0.6240713000297546,0.8910461068153381
16,0.6508474349975586,4.0000002627493814e-05,0.8002108335494995,0.6240713000297546,0.8912234902381897
17,0.6381356120109558,4.0000002627493814e-05,0.8073393106460571,0.6240713000297546,0.8927924036979675
18,0.6461864113807678,8.000000889296643e-06,0.791299045085907,0.6240713000297546,0.8911875486373901
19,0.6440678238868713,8.000000889296643e-06,0.7944349050521851,0.6225854158401489,0.8907219767570496
