decision,reason,original_class,path,sha256,phash
revision_dudosa,similaridad perceptual con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_01293.jpg,06f8d9d0e1be55d3c309efe116fdb8a6978e7e78925d51f16ab035ca5090f72c,d7590ee90127fce0
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_03640.jpg,07acc8f77d3538079d799e57cd8284d8ae089b4f4e217241da5d4ae652a657c1,b9c202b4db7b243d
revision_dudosa,similaridad perceptual con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_01573.jpg,0c720943ab5a283bc62713ed499282ddde7df22013a4c2c95be00e305adabeb8,adf315a6da2c3984
revision_dudosa,similaridad perceptual con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_01630.jpg,10a5a7ed9479f1e5ce8b78106afe4535b53eeeefb4ab0ca0b6d82504e893c78c,d738e027dc1d938a
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_03360.jpg,10b6ea441d46fe09dbf63bcc22c78ecb988e78fdc7cff59e569c450a68bea3dc,e23f80f09de5d588
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_01816.jpg,117cb3af528e2f0372d11e80d47d7f2fcca92e61bb6cb6b9dc50a1ec9c189bd6,f209724cbeacf08d
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_05005.jpg,129094eb99692c784d422f62050d911de54454c3d60e06fbf973f1dc818f6f34,9c526b8dc62939e6
revision_dudosa,similaridad perceptual con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_02462.jpg,198b75a472ebfa2f0ae770f3f47920f7a731f1371b8c3507a1880ed2469d658b,9f6370d28719ac74
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_02640.jpg,1a31babf856f85c30e6d846049ba6be5b687a7db7c5cad1ddb9351e30cb8bd2c,d703630fca7d1f02
revision_dudosa,similaridad perceptual con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_02013.jpg,1a8050209dc44e51838e302325348a7d2ea17d09a348e1da32aee2bba27b7ad1,e3d8b40a8bf568ac
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_02018.jpg,1c8dfdf8c06b6e5643bb67e08233a47aa10d798cfbc4a2e303b8f8059c30b86d,efd1011e18271f2f
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_02086.jpg,1c948e05f4ec313c73449d1ee4d27e676fb86f4ec5808c91faf323239832353f,a5cef02dda248fa1
revision_dudosa,duplicado exacto con etiqueta conflictiva,atencion,dataset/raw/atencion/atencion_03936.jpg,1d6f473c6c019eccfd40143524eb06203359cd27d5690a965dfc5b317771cf28,bf87cf5ce0b09203
