distance,split_a,class_a,path_a,split_b,class_b,path_b,cross_split,cross_class
0,raw,atencion,dataset/raw/atencion/atencion_00001.jpg,validation,atencion,dataset/validation/atencion/atencion_00001.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00004.jpg,train,atencion,dataset/train/atencion/atencion_00004.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00004.jpg,train,peligro,dataset/train/peligro/peligro_00179.jpg,True,True
0,raw,atencion,dataset/raw/atencion/atencion_00005.jpg,validation,atencion,dataset/validation/atencion/atencion_00005.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00012.jpg,train,atencion,dataset/train/atencion/atencion_00012.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00012.jpg,train,sano,dataset/train/sano/sano_00139.jpg,True,True
0,raw,atencion,dataset/raw/atencion/atencion_00034.jpg,train,atencion,dataset/train/atencion/atencion_00034.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00034.jpg,train,peligro,dataset/train/peligro/peligro_00101.jpg,True,True
0,raw,atencion,dataset/raw/atencion/atencion_00043.jpg,train,atencion,dataset/train/atencion/atencion_00043.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00044.jpg,validation,atencion,dataset/validation/atencion/atencion_00044.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00049.jpg,validation,atencion,dataset/validation/atencion/atencion_00049.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00057.jpg,train,atencion,dataset/train/atencion/atencion_00057.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00068.jpg,test,atencion,dataset/test/atencion/atencion_00068.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00077.jpg,validation,atencion,dataset/validation/atencion/atencion_00077.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00098.jpg,validation,atencion,dataset/validation/atencion/atencion_00098.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00148.jpg,train,atencion,dataset/train/atencion/atencion_00148.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00151.jpg,train,atencion,dataset/train/atencion/atencion_00151.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00167.jpg,train,atencion,dataset/train/atencion/atencion_00167.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00177.jpg,train,atencion,dataset/train/atencion/atencion_00177.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00177.jpg,train,sano,dataset/train/sano/sano_05769.jpg,True,True
0,raw,atencion,dataset/raw/atencion/atencion_00179.jpg,train,atencion,dataset/train/atencion/atencion_00179.jpg,True,False
0,raw,atencion,dataset/raw/atencion/atencion_00197.jpg,train,atencion,dataset/train/atencion/atencion_00197.jpg,True,False
