accuracy,epoch,learning_rate,loss,stage,val_accuracy,val_loss
0.45098039507865906,1,0.0010000000474974513,1.069101095199585,head,0.5388127565383911,0.9542220830917358
0.558169960975647,2,0.0010000000474974513,0.9382109045982361,head,0.577625572681427,0.9159407019615173
0.5647059082984924,3,0.0010000000474974513,0.905464231967926,head,0.5730593800544739,0.9060729146003723
0.5901960730552673,4,0.0010000000474974513,0.8913789391517639,head,0.6095890402793884,0.8807864785194397
0.5843137502670288,5,0.0010000000474974513,0.8677130341529846,head,0.611872136592865,0.871783971786499
0.6209150552749634,6,0.0010000000474974513,0.8457726240158081,head,0.5936073064804077,0.8691923022270203
0.6274510025978088,7,0.0010000000474974513,0.8331303000450134,head,0.611872136592865,0.8621934056282043
0.6130719184875488,8,0.0010000000474974513,0.8382285237312317,head,0.611872136592865,0.8612980842590332
0.6111111044883728,9,0.0010000000474974513,0.8308741450309753,head,0.6164383292198181,0.8562727570533752
0.6267973780632019,10,0.0010000000474974513,0.8151656985282898,head,0.6278538703918457,0.8528257608413696
0.543790876865387,11,9.999999747378752e-06,0.9458714127540588,finetune,0.5525113940238953,0.9507696628570557
0.5712418556213379,12,9.999999747378752e-06,0.9169062376022339,finetune,0.5799086689949036,0.936220645904541
0.5816993713378906,13,2.499999936844688e-06,0.9034503698348999,finetune,0.5799086689949036,0.9312809705734253
0.5679738521575928,14,2.499999936844688e-06,0.9230459332466125,finetune,0.5936073064804077,0.9280622005462646
