split,clase,path,name,suffix,size_bytes,width,height,mode,sha256,phash,readable,error
train,atencion,dataset_curado_v3/train/atencion/atencion_00043.jpg,atencion_00043.jpg,.jpg,32367,224,224,RGB,944612659e86d9e0968c09dd08c2aef806bc739d7206b8840f3ef01d8c5ace47,eafb2c4632d8c585,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00044.jpg,atencion_00044.jpg,.jpg,33735,224,224,RGB,60c64f9a31ca72c1f07476ee8a2508c8d69b8df4fd248b7dd3d78819a7f65d81,95d54e2b8dc4e616,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00049.jpg,atencion_00049.jpg,.jpg,36349,224,224,RGB,43dc90e0eb185625ae253075d11991cd1f86c1304f374f03b424c2af9e4dca71,a358f40b6592db2d,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00057.jpg,atencion_00057.jpg,.jpg,28710,224,224,RGB,72c450d286e7be8f31b03abd1376b6a07ab43713957b211d991f0df8c82f1fed,c10b323ecc971f6a,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00068.jpg,atencion_00068.jpg,.jpg,33449,224,224,RGB,60cf148449438f4d09c650b4f48d5fbc49af546dae21ad393f5aa6770622f76f,ae9ad5a0df909e11,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00077.jpg,atencion_00077.jpg,.jpg,17176,224,224,RGB,8d429d8bd26a8509e58756f2d8993aa420e4a9c7b5c46dfc85b06b63a55ada4f,8cd136267bc6c9ca,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00098.jpg,atencion_00098.jpg,.jpg,34755,224,224,RGB,86044ec32733fba09bf8ede376ba338e182f9d382a2c190219494b4cc2b9b3fe,d0c0def1d26a43d9,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00148.jpg,atencion_00148.jpg,.jpg,21902,224,224,RGB,ae7d62db168a63814a1ce9c9a9255941d9a3e88c944f67fa627096f38c9f1ae7,8a59fa32b806f31d,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00151.jpg,atencion_00151.jpg,.jpg,25183,224,224,RGB,82efd0eba7133041c4afc866c69225949c10941434bda83318fcc227fe27dfc5,df8166be93802dc3,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00167.jpg,atencion_00167.jpg,.jpg,18254,224,224,RGB,aff5f6865ebc1251beb395b8f6b352b01f0abefab9c5b2ff348ad5366afd1664,b98dc63d84b2e538,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00179.jpg,atencion_00179.jpg,.jpg,22836,224,224,RGB,8b922df225071edc2ca4d534a6c4173b38852e4efe5057da06b65c55921fce89,cb746c3865939a5c,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00205.jpg,atencion_00205.jpg,.jpg,29735,224,224,RGB,469794880daebedfbd68ae6e527cfff824bca3bc693cfc94b8d1a9713ade88f9,ae9d13a658dc8e2a,True,
train,atencion,dataset_curado_v3/train/atencion/atencion_00234.jpg,atencion_00234.jpg,.jpg,24536,224,224,RGB,46b38a60d3b8693fe9a6db371ef80ba0eb16b877867040d38b9c3b23080dae42,b20f89d63ed87027,True,
